CLS_ID	FREQ	PST	3S	PP	ING
C001	13180	↑d	↑s	↑d	↓e↑ing
C002	4529	↑ed	↑s	↑ed	↑ing
C003	1505	↑ed	↑es	↑ed	↑ing
C004	1047	↓y↑ied	↓y↑ies	↓y↑ied	↑ing
C005	368	↑ped	↑s	↑ped	↑ping
C006	325	↑ted	↑s	↑ted	↑ting
C007	246	↑ged	↑s	↑ged	↑ging
C008	223	↑led	↑s	↑led	↑ling
C009	160	↑ned	↑s	↑ned	↑ning
C010	152	↑d	↑s	↑d	↑ing
C011	147	↑bed	↑s	↑bed	↑bing
C012	139	↑med	↑s	↑med	↑ming
C013	109	↑red	↑s	↑red	↑ring
C014	98	∅	↑s	∅	↑ting
C015	92	↑ded	↑s	↑ded	↑ding
C016	84	∅	↑s	∅	↑ing
C017	62	↓d↑t	↑s	↓d↑t	↑ing
C018	48	↓e	↑s	↓e	↑ing
C019	46	↓i↑ou	↑s	↓i↑ou	↑ing
C020	43	↓o↑e	↑s	↑n	↑ing
C021	42	↑d	↑s	↑d	↓ie↑ying
C022	42	↓e↑t	↑s	↓e↑t	↑ing
C023	42	↓y↑id	↑s	↓y↑id	↑ing
C024	41	↑ked	↑s	↑ked	↑king
C025	37	↑ed	↑s	↑n	↑ing
C026	36	↓i↑a	↑s	↓i↑u	↑ing
C027	31	↓ake↑ook	↑s	↑n	↓e↑ing
C028	31	↓eak↑oke	↑s	↓eak↑oken	↑ing
C029	29	↓i↑o	↑s	↑n	↓e↑ing
C030	27	↓ear↑ore	↑s	↓ear↑orn	↑ing
C031	26	↓i↑o	↑s	↓e↑ten	↓e↑ing
C032	24	↓i↑u	↑s	↓i↑u	↑ing
C033	22	↓a↑e	↑s	↑n	↑ing
C034	22	↓ell↑old	↑s	↓ell↑old	↑ing
C035	21	↑t	↑s	↑t	↑ing
C036	21	↓i↑a	↑s	↓i↑a	↑ting
C037	19	↓o↑e	↑s	↓o↑e	↑ing
C038	18	↓k↑d	↑s	↓k↑d	↓e↑ing
C039	17	↓a	↑s	↓a	↑ing
C040	17	↓an↑oo	↑s	↓an↑oo	↑ing
C041	17	↓i↑a	↑s	↑n	↓e↑ing
C042	17	↓i↑o	↑s	↓e↑den	↓e↑ing
C043	16	↓o↑a	↑s	∅	↓e↑ing
C044	15	∅	↑s	∅	↑ding
C045	15	↓ee↑aw	↑s	↑n	↑ing
C046	15	↓go↑went	↑es	↑ne	↑ing
C047	14	↓ear↑ore	↑s	↓ear↑orne	↑ing
C048	14	↓ink↑ought	↑s	↓ink↑ought	↑ing
C049	13	↓a↑e	↑s	↑en	↑ing
C050	13	↓o	↑s	↓o	↑ing
C051	12	↓e	↑s	↓e↑ten	↓e↑ing
C052	12	↓o↑id	↑es	↑ne	↑ing
C053	12	↓u↑a	↑s	∅	↑ning
C054	11	↓e	↑s	↓e	↓e↑ing
C055	11	↓each↑aught	↑es	↓each↑aught	↑ing
C056	10	↑sed	↑ses	↑sed	↑sing
C057	10	↑zed	↑zes	↑zed	↑zing
C058	10	↓ea↑o	↑s	↓ea↑o↑n	↓e↑ing
C059	10	↓i↑o	↑s	↓i↑o	↓e↑ing
C060	10	↓i↑u	↑s	↓i↑u	↑ning
C061	10	↓ing↑ought	↑s	↓ing↑ought	↑ing
C062	9	↓eek↑ought	↑s	↓eek↑ought	↑ing
C063	9	↓ike↑uck	↑s	↓ike↑uck	↓e↑ing
C064	9	↓tch↑ught	↑es	↓tch↑ught	↑ing
C065	9	↓uy↑ought	↑s	↓uy↑ought	↑ing
C066	8	↑ced	↑s	↑ced	↑cing
C067	8	↑fed	↑s	↑fed	↑fing
C068	8	↓a↑u	↑s	↓a↑u	↑ing
C069	8	↓ave↑ft	↑s	↓ave↑ft	↓e↑ing
C070	8	↓e↑o	↑s	↓et↑otten	↑ting
C071	8	↓gh	↑s	↓gh	↑ing
C072	8	↓ie↑ay	↑s	↓ie↑ain	↓ie↑ying
C073	7	↑sed	↑es	↑sed	↑sing
C074	7	↓e↑e	↑s	↑en	↑ing
C075	7	↓ee↑o	↑s	↓ee↑o↑n	↓e↑ing
C076	6	∅	↑s	↑en	↑ing
C077	6	↑ved	↑s	↑ved	↑ving
C078	6	↓e	↑s	↓e↑den	↓e↑ing
C079	6	↓eal↑ole	↑s	↓eal↑olen	↑ing
C080	6	↓i↑o	↑s	↓i↑o	↑ning
C081	6	↓y↑ew	↓y↑ies	↓y↑own	↑ing
C082	5	↓a↑o	↑s	↓a↑o↑n	↓e↑ing
C083	5	↓e↑t	↑s	↓e↑t	↓e↑ing
C084	5	↓ea↑o	↑s	↓ead↑odden	↑ing
C085	5	↓i↑a	↑s	↓i↑u	↑ming
C086	5	↓l↑t	↑s	↓l↑t	↑ing
C087	5	↓o	↑s	↓o↑n	↓e↑ing
C088	4	↑ed	∅	↑ed	↑ing
C089	4	↑ed	↑s	↑ed	↑in
C090	4	↓i↑a	↑s	↓i↑u	↑ning
C091	4	↓i↑u	↑s	↓i↑u	↑ging
C092	3	∅	↑s	↑den	↑ding
C093	3	↑ed	↑s	∅	↑ing
C094	3	↑ed	↑s	↓e↑o↑en	↑ing
C095	3	↓e↑d	↑s	↓e↑d	↑ing
C096	3	↓e↑o	↑s	↓e↑o	↑ting
C097	2	↑d	↑s	↑n	↓e↑ing
C098	2	↑d	↑z	↑d	↑ing
C099	2	↓a↑o	↑s	↑n	↓e↑ing
C100	2	↓ay↑ew	↑s	↓y↑in	↑ing
C101	2	↓e↑o	↑s	↓e↑o↑n	↓e↑ing
C102	2	↓ea↑o	↑s	↓ea↑o	↑ing
C103	2	↓i↑a	↑s	↓i↑u↑en	↑ing
C104	2	↓ike↑uck	↑s	↑c↑n	↓e↑ing
C105	2	↓o↑e	↑s	↑n	↓e↑ing
C106	2	↓u↑a	↑s	↓u↑a	↑ning
C107	2	↓v↑d	↓v↑s	↓v↑d	↑ing
C108	2	↓ve↑d	↓ve↑s	↓ve↑d	↓e↑ing
C109	1	↑d	∅	↑d	↓e↑ing
C110	1	↑d	↑s	↑d	↓e↑in
C111	1	↑d	↑th	↑d	↓e↑ing
C112	1	↑ed	↑es	↑ed	↑in
C113	1	↑ed	↑eth	↑ed	↑ing
C114	1	↑ed	↑s	↑ed	↑ng
C115	1	↑ed	↑s	↑ed	↓i↑ying
C116	1	↑ed	↑s	↑en	↑ing
C117	1	↑ed	↑s	↓ear↑orn	↑ing
C118	1	↑ed	↑s	↓ei↑au	↑ing
C119	1	↑ged	∅	↑ged	↑ging
C120	1	↑ged	↑ges	↑ged	↑ging
C121	1	↑hed	↑s	↑hed	↑hing
C122	1	↑ied	↓y↑ies	↑ied	↑ing
C123	1	↑ked	↑s	↑ked	↑ing
C124	1	↑led	↑s	↑led	↑ing
C125	1	↑red	↑s	↑red	↑rin
C126	1	↑t	↑es	↑t	↑ing
C127	1	↑t	↑s	↑t	↑ring
C128	1	↑took the ↓take	↑s	↓piss↑n the piss	↓e↑ing
C129	1	↓a↑ee	↑s	↑ten	↑ting
C130	1	↓and↑ood 	↑s 	↓and↑ood 	↑ing 
C131	1	↓aue↑ft	↑s	↓aue↑ft	↓e↑ing
C132	1	↓de↑t	↑s	↓de↑t	↓e↑ing
C133	1	↓e↑a	↑s	↓e↑o	↓e↑ing
C134	1	↓e↑a	↑s	↓e↑u	↑ning
C135	1	↓e↑d	↑s	↓e↑dden	↑ing
C136	1	↓e↑id	↓e↑iz	↓e↑yun	↑in
C137	1	↓e↑o	↑s	↓e↑o↑en	↑ing
C138	1	↓e↑t	↑s	↓e↑t	↓ie↑yin
C139	1	↓e↑t	↑s	↓e↑t	↓r↑ing
C140	1	↓ea↑o	↑s	↓ear↑orn	↓e↑ing
C141	1	↓eak↑oke	↑s	↓eak↑oke	↑ing
C142	1	↓eech↑ought	↑es	↓eech↑ought	↑ing
C143	1	↓egge↑ought	↑s	↓egge↑ought	↓e↑ing
C144	1	↓f↑ved	↓f↑ves	↓f↑ved	↓f↑ving
C145	1	↓fe↑ved	↓fe↑ves	↓fe↑ved	↓fe↑ving
C146	1	↓ge↑t	↑s	↓ge↑t	↓e↑ing
C147	1	↓goe↑went	↑s	↑n	↓e↑ing
C148	1	↓i↑a	↑s	↑ten	↑ting
C149	1	↓i↑a	↑s	↓im↑omen	↑ming
C150	1	↓i↑a↓e	↑s	↓i↑u	↓e↑ing
C151	1	↓i↑o	↑s	↑c↑n	↓e↑ing
C152	1	↓i↑o	↑s	↑d	↓e↑ing
C153	1	↓ie↑o	↑s	↓ield↑olden	↑ing
C154	1	↓inck↑ought	↑s	↓inck↑ought	↑ing
C155	1	↓inke↑ought	↑s	↓inke↑ought	↓e↑ing
C156	1	↓it↑otten	↑ting	↓it↑otten	↓i↑o
C157	1	↓o	↑s	↓o↑ten	↑ing
C158	1	↓oe↑id	↑s	↑n	↓e↑ing
C159	1	↓ork↑rought	↑s	↓ork↑rought	↑ing
C160	1	↓ote↑ight	↑s	↑n	↓e↑ing
C161	1	↓othe↑ad	↑s	↓othe↑ad	↓e↑ing
C162	1	↓ou↑e	↑s	↓ou↑e	↑ing
C163	1	↓s↑t	↑es	↓s↑t	↑ing
C164	1	↓uck↑ight	↑s	↓uck↑ight	↑ing
C165	1	↓ue↑d	↓ue↑s	↓ue↑d	↓e↑ing
C166	1	↓um↑ame	↑s	∅	↑ming
C167	1	↓um↑ame	↑s	↓um↑ome	↑ming
C168	1	↓ve↑ft	↑s	↓ve↑ft	↓e↑ing
C169	1	↓y↑id	↑s	↑ed	↑ing
C170	1	↓y↑ied	↑s	↓y↑ied	↑ing
C171	1	↓y↑ied	↓e↓y↑ies	↓y↑ied	↑ing
C172	1	↓y↑ied	↓i↓y↑ies	↓y↑ied	↑ing
C173	1	↓y↑ied	↓y↑ies	↓y↑ied	↑in
C174	1	↓y↑ied	↓y↑ies	↓y↑ied	↓e↑i↑ing
C175	1	↓y↑ied	↓y↑ies	↓y↑ied	↓y↑ing
C176	1	↓y↑ou↓e	↑s	↓y↑ou↓e	↓e↑ing
C177	1	↓y↑ought	↑s	↓y↑ought	↑ing
C178	1	↓y↑u	↑s	↑en	↑in
C179	1	↓ye↑ought	↑s	↓ye↑ought	↓e↑ing
C180	1	↓yek↑ade	↑s	↓yek↑ade	↑in